place_id,name,rating,reviews_count,long,lat,category,caption_idn,caption_eng
11,Kampung Blangkon Serengan,4.8,12,-7.581713,110.8158544,"Art, Culture, Education, Shop","Kampung Blangkon Serengan adalah pusat kerajinan blangkon, penutup kepala tradisional Jawa yang sarat akan makna budaya. Di sini, Anda bisa melihat langsung proses pembuatan blangkon yang teliti dan rumit, serta belajar tentang sejarah dan simbolisme di balik setiap motifnya. Kampung ini juga menawarkan berbagai workshop dan toko yang menjual blangkon dan kerajinan lainnya, menjadikannya tempat yang sempurna untuk menemukan oleh-oleh khas Solo.","Kampung Blangkon Serengan is the center of blangkon craftsmanship, a traditional Javanese headgear rich in cultural significance. Here, you can witness the meticulous and intricate process of making blangkon, and learn about the history and symbolism behind each motif. The village also offers various workshops and shops selling blangkon and other crafts, making it the perfect place to find unique Solo souvenirs."
12,Kampung Kemlayan,4,1,-7.5720179,110.8210193,"Art, Culture, Education","Kampung Kemlayan adalah pusat kebudayaan yang terkenal dengan seni pertunjukan tradisional Jawa, seperti wayang kulit dan gamelan. Di kampung ini, Anda bisa belajar langsung dari para seniman dan pengrajin tentang cara membuat dan memainkan alat musik tradisional, serta menyaksikan pertunjukan seni yang autentik. Kampung Kemlayan merupakan destinasi ideal bagi mereka yang ingin mendalami seni dan budaya Jawa.","Kampung Kemlayan is a cultural hub renowned for traditional Javanese performing arts such as wayang kulit and gamelan. In this village, you can learn directly from artists and craftsmen about how to make and play traditional instruments, and witness authentic art performances. Kampung Kemlayan is the ideal destination for those who want to delve into Javanese art and culture."
13,Tumurun Private Museum,4.8,2154,-7.5704065,110.8163901,"Art, Culture, Education","Tumurun Private Museum adalah museum pribadi yang menampilkan koleksi seni modern dan kontemporer dari Indonesia dan mancanegara. Didirikan oleh keluarga Hartono, museum ini menjadi tempat bagi para pecinta seni untuk menikmati karya-karya yang inovatif dan inspiratif. Dengan berbagai pameran dan program edukasi, Tumurun Private Museum berperan penting dalam mempromosikan seni dan budaya kepada masyarakat luas.","Tumurun Private Museum is a private museum showcasing modern and contemporary art collections from Indonesia and abroad. Founded by the Hartono family, this museum is a place for art lovers to enjoy innovative and inspiring works. With various exhibitions and educational programs, Tumurun Private Museum plays an important role in promoting art and culture to the wider community."
14,Gladak,4.6,90,-7.5727187,110.8293154,History,"Gladak adalah kawasan bersejarah di Solo yang dikenal dengan jembatan ikoniknya yang menghubungkan Jalan Slamet Riyadi dan Keraton Kasunanan Surakarta. Dibangun pada masa kolonial Belanda, Gladak menjadi saksi bisu perkembangan kota Solo dari masa ke masa. Kawasan ini juga sering menjadi titik kumpul berbagai acara budaya dan tradisional yang menarik.","Gladak is a historic area in Solo known for its iconic bridge that connects Jalan Slamet Riyadi and the Kasunanan Surakarta Palace. Built during the Dutch colonial period, Gladak has witnessed the development of Solo through the ages. This area also often serves as a gathering point for various interesting cultural and traditional events."
15,Ponten Mangkunegaran IV,4.6,244,-7.5610617,110.8221541,History,"Ponten Mangkunegaran IV adalah bangunan bersejarah yang digunakan sebagai fasilitas umum mandi dan cuci pada masa pemerintahan Mangkunegara IV. Dibangun pada abad ke-19, Ponten ini menunjukkan perhatian pemerintah kerajaan terhadap kebersihan dan kesehatan masyarakat. Kini, bangunan ini menjadi salah satu saksi bisu sejarah panjang kerajaan Mangkunegaran di Solo.","Ponten Mangkunegaran IV is a historic building that was used as a public bathing and washing facility during the reign of Mangkunegara IV. Built in the 19th century, this Ponten reflects the royal government's attention to public cleanliness and health. Today, the building stands as a silent witness to the long history of the Mangkunegaran kingdom in Solo."
16,Taman Monumen 45 Banjarsari,4.5,4525,-7.5604092,110.8264441,History,"Taman Monumen 45 Banjarsari adalah monumen yang dibangun untuk memperingati perjuangan kemerdekaan Indonesia. Terletak di pusat kota Solo, monumen ini dikelilingi oleh taman yang indah, menjadikannya tempat yang ideal untuk mengenang jasa para pahlawan. Monumen ini juga sering menjadi lokasi upacara dan peringatan hari-hari besar nasional.","Taman Monumen 45 Banjarsari is a monument built to commemorate Indonesia's struggle for independence. Located in the center of Solo, the monument is surrounded by a beautiful park, making it an ideal place to remember the heroes' sacrifices. The monument is also often the site of ceremonies and commemorations of national holidays."
17,Balaikota Solo,4.6,893,-7.5694476,110.829594,History,"Balaikota Solo adalah pusat pemerintahan kota Solo yang bersejarah, dibangun pada masa kolonial Belanda. Gedung ini menjadi simbol kekuasaan administratif dan pusat pengambilan keputusan penting di kota ini. Dengan arsitektur kolonial yang khas, Balaikota Solo tidak hanya berfungsi sebagai kantor pemerintahan tetapi juga menjadi salah satu landmark kota yang menarik untuk dikunjungi.","Balaikota Solo is the historic city hall of Solo, built during the Dutch colonial era. This building symbolizes administrative power and serves as the center for important decision-making in the city. With its distinctive colonial architecture, Balaikota Solo not only functions as a government office but also stands as an interesting city landmark to visit."
18,Benteng Vastenburg,4.5,15652,-7.5719529,110.8307322,History,"Benteng Vastenburg adalah benteng peninggalan Belanda yang dibangun pada tahun 1745 oleh Gubernur Jenderal Baron van Imhoff. Benteng ini dibangun untuk mengawasi dan mengendalikan aktivitas Keraton Surakarta. Benteng Vastenburg kini menjadi salah satu situs bersejarah yang menunjukkan jejak kolonialisme di Solo, dan sering digunakan sebagai lokasi berbagai acara budaya dan pameran.",Benteng Vastenburg is a Dutch colonial fortress built in 1745 by Governor-General Baron van Imhoff. The fortress was constructed to monitor and control the activities of the Surakarta Palace. Benteng Vastenburg now stands as a historic site showcasing traces of colonialism in Solo and is often used as a venue for various cultural events and exhibitions.
19,Museum Samanhoedi,4.5,241,-7.5666572,110.7973478,"History, Education","Museum Samanhoedi didedikasikan untuk mengenang Samanhoedi, pendiri Serikat Dagang Islam, organisasi dagang pertama yang memperjuangkan kepentingan pedagang pribumi pada masa kolonial. Museum ini menyimpan berbagai artefak dan dokumentasi sejarah perjuangan ekonomi dan sosial Samanhoedi. Terletak di kampung Laweyan, museum ini memberikan wawasan mendalam tentang sejarah pergerakan nasional Indonesia.","Museum Samanhoedi is dedicated to the memory of Samanhoedi, the founder of Serikat Dagang Islam, the first trade organization advocating for native traders during the colonial period. The museum houses various artifacts and historical documents related to Samanhoedi's economic and social struggles. Located in Laweyan village, this museum provides deep insights into the history of Indonesia's national movement."
20,Museum Monumen Pers,4.6,2323,-7.565059,110.818131,"History, Education","Museum Monumen Pers di Solo adalah tempat yang didirikan untuk mengenang sejarah pers di Indonesia. Diresmikan pada tahun 1978, museum ini menampilkan berbagai koleksi surat kabar, majalah, dan peralatan pers dari masa lalu. Museum ini berperan penting dalam edukasi tentang perkembangan media dan kebebasan pers di Indonesia, serta menjadi sumber informasi bagi peneliti dan pelajar.","Museum Monumen Pers in Solo is a place dedicated to commemorating the history of the press in Indonesia. Inaugurated in 1978, the museum features various collections of newspapers, magazines, and press equipment from the past. This museum plays an important role in educating the public about the development of media and press freedom in Indonesia, and serves as a resource for researchers and students."
21,Museum Keris Nusantara,4.6,2386,-7.5690312,110.8108078,"History, Education","Museum Keris Nusantara di Solo adalah destinasi yang wajib dikunjungi bagi para pecinta sejarah dan budaya. Diresmikan pada tahun 2017, museum ini menampilkan koleksi keris yang beragam dari seluruh nusantara. Setiap keris memiliki cerita dan makna tersendiri, mencerminkan keahlian dan tradisi yang diwariskan dari generasi ke generasi. Dengan berbagai program edukasi, museum ini memberikan wawasan mendalam tentang seni pembuatan dan filosofi di balik keris.","Museum Keris Nusantara in Solo is a must-visit destination for history and culture enthusiasts. Inaugurated in 2017, the museum showcases a diverse collection of keris from across the archipelago. Each keris has its own story and significance, reflecting the craftsmanship and traditions passed down through generations. With various educational programs, the museum provides deep insights into the art of making and the philosophy behind the keris."
22,De Tjolomadoe,4.6,21023,-7.5341353,110.7499199,"History, Education, Culinary","De Tjolomadoe adalah bekas pabrik gula yang dibangun pada tahun 1861 oleh pemerintah kolonial Belanda. Setelah direvitalisasi, tempat ini sekarang menjadi kompleks budaya dan pendidikan yang menarik, menawarkan museum yang menceritakan sejarah pabrik gula serta berbagai kegiatan kuliner dan hiburan. Dengan arsitektur yang memadukan gaya kolonial dan modern, De Tjolomadoe adalah destinasi unik yang memadukan sejarah, pendidikan, dan kesenangan.","De Tjolomadoe is a former sugar factory built in 1861 by the Dutch colonial government. After being revitalized, it now serves as an engaging cultural and educational complex, offering a museum that tells the history of the sugar factory, as well as various culinary and entertainment activities. With architecture that blends colonial and modern styles, De Tjolomadoe is a unique destination that combines history, education, and enjoyment."
23,Museum Batik Danar Hadi,4.6,2240,-7.5687936,110.8163394,"History, Education","Museum Batik Danar Hadi, didirikan pada tahun 2000, adalah salah satu museum batik terkemuka di Indonesia. Terletak di sebuah bangunan bersejarah yang indah, museum ini menyimpan koleksi batik yang luar biasa dari berbagai daerah dan periode. Selain pameran, museum ini juga menawarkan workshop pembuatan batik dan tur edukasi yang memberikan wawasan tentang sejarah dan teknik pembuatan batik.","Museum Batik Danar Hadi, established in 2000, is one of the foremost batik museums in Indonesia. Housed in a beautiful historic building, the museum holds an exceptional collection of batik from various regions and periods. In addition to exhibitions, the museum offers batik-making workshops and educational tours that provide insights into the history and techniques of batik production."
24,Situs Prasejarah Sangiran,4.7,952,-7.4556262,110.8342097,"History, Education","Situs Prasejarah Sangiran adalah salah satu situs arkeologi terpenting di dunia, dikenal dengan penemuan fosil manusia purba. Terletak di kabupaten Sragen, situs ini diakui sebagai Situs Warisan Dunia oleh UNESCO pada tahun 1996. Museum Sangiran yang berada di area ini menampilkan berbagai artefak prasejarah dan memberikan informasi mendalam tentang evolusi manusia dan kehidupan masa lampau.","The Sangiran Early Man Site is one of the most important archaeological sites in the world, known for its discovery of ancient human fossils. Located in Sragen Regency, this site was recognized as a UNESCO World Heritage Site in 1996. The Sangiran Museum in the area displays various prehistoric artifacts and provides in-depth information about human evolution and ancient life."
25,Solo Safari,4,16771,-7.564647,110.8585969,Education,"Solo Safari adalah taman edukasi yang menggabungkan konsep kebun binatang dan taman rekreasi. Di sini, pengunjung bisa belajar tentang berbagai spesies hewan dari seluruh dunia dalam lingkungan yang aman dan terjaga. Selain itu, Solo Safari menawarkan berbagai program edukasi tentang konservasi dan perlindungan satwa, menjadikannya tempat yang ideal untuk kunjungan keluarga dan sekolah.","Solo Safari is an educational park that combines the concepts of a zoo and a recreational park. Here, visitors can learn about various animal species from around the world in a safe and well-maintained environment. Additionally, Solo Safari offers various educational programs on conservation and animal protection, making it an ideal place for family and school visits."
26,Rumah Budaya Kratonan,4.4,346,-7.5778095,110.8182663,"Culture, History, Education","Rumah Budaya Kratonan adalah pusat kebudayaan yang didedikasikan untuk melestarikan dan mempromosikan budaya Jawa. Didirikan pada tahun 2010, tempat ini menawarkan berbagai program pendidikan dan pertunjukan seni tradisional seperti tari, musik, dan teater. Dengan lingkungan yang kaya akan sejarah dan tradisi, Rumah Budaya Kratonan memberikan pengalaman mendalam tentang kekayaan budaya Jawa.","Rumah Budaya Kratonan is a cultural center dedicated to preserving and promoting Javanese culture. Established in 2010, it offers various educational programs and traditional art performances such as dance, music, and theater. With an environment rich in history and tradition, Rumah Budaya Kratonan provides a deep experience of the richness of Javanese culture."
27,Museum Lokananta,4.8,857,-7.5577331,110.7954845,"Art, History, Education","Museum Lokananta adalah museum musik pertama di Indonesia, didirikan pada tahun 1956. Terletak di Solo, museum ini menyimpan koleksi rekaman dan peralatan musik bersejarah, termasuk rekaman asli dari berbagai artis legendaris Indonesia. Lokananta juga masih berfungsi sebagai studio rekaman, menjadikannya tempat yang bersejarah sekaligus hidup dalam dunia musik Indonesia.","Museum Lokananta is Indonesia's first music museum, established in 1956. Located in Solo, the museum houses a collection of historic recordings and musical equipment, including original recordings from various legendary Indonesian artists. Lokananta still operates as a recording studio, making it both a historic and a living part of Indonesia's music scene."
28,Solo Techno Park,4.7,726,-7.5560692,110.8538665,Education,"Solo Techno Park adalah pusat inovasi dan pendidikan teknologi yang didirikan untuk mendorong perkembangan ilmu pengetahuan dan teknologi di Solo. Didirikan pada tahun 2009, tempat ini menawarkan berbagai program pelatihan dan penelitian di bidang teknologi dan rekayasa. Solo Techno Park juga berfungsi sebagai inkubator bisnis bagi startup dan perusahaan teknologi, menjadikannya pusat penting bagi perkembangan industri teknologi di Solo.","Solo Techno Park is a center for innovation and technology education established to promote the development of science and technology in Solo. Founded in 2009, it offers various training and research programs in technology and engineering. Solo Techno Park also serves as a business incubator for startups and tech companies, making it a crucial hub for the growth of the technology industry in Solo."
29,Taman Cerdas,4.2,4,-7.5539899,110.8532752,Education,"Taman Cerdas adalah taman pendidikan yang dirancang untuk anak-anak dan keluarga. Didirikan pada tahun 2011, taman ini menawarkan berbagai fasilitas dan program edukatif yang interaktif dan menyenangkan, seperti area bermain, perpustakaan, dan ruang seni. Taman Cerdas bertujuan untuk mendukung perkembangan kognitif dan kreatif anak-anak dalam lingkungan yang aman dan mendidik.","Taman Cerdas is an educational park designed for children and families. Established in 2011, the park offers various interactive and enjoyable educational facilities and programs, such as play areas, a library, and art spaces. Taman Cerdas aims to support the cognitive and creative development of children in a safe and educational environment."
30,Pasar Kembang,4.5,3040,-7.2694177,112.7293681,Shop,"Pasar Kembang adalah pasar tradisional yang terkenal di Solo, khusus menjual bunga dan berbagai perlengkapan upacara. Pasar ini menawarkan berbagai jenis bunga segar dan tanaman hias, serta barang-barang dekoratif untuk acara-acara khusus. Selain sebagai tempat berbelanja, Pasar Kembang juga menjadi destinasi wisata budaya yang menarik, memberikan pengalaman autentik tentang kehidupan pasar tradisional di Solo.","Pasar Kembang is a well-known traditional market in Solo, specializing in flowers and various ceremonial supplies. The market offers a wide variety of fresh flowers and ornamental plants, as well as decorative items for special occasions. Besides being a shopping destination, Pasar Kembang is also an interesting cultural tourist spot, providing an authentic experience of traditional market life in Solo."
31,Pare Anom Art Shop,4.1,2,-7.5671112,110.8227592,"Art, Shop","Pare Anom Art Shop adalah toko seni yang menampilkan karya seni tradisional dan kontemporer dari seniman lokal. Di sini, Anda bisa menemukan berbagai macam lukisan, patung, dan kerajinan tangan yang unik dan berkualitas tinggi. Pare Anom tidak hanya menawarkan produk seni, tetapi juga memberikan kesempatan bagi para pengunjung untuk belajar tentang seni dan budaya Jawa melalui berbagai workshop dan pameran.","Pare Anom Art Shop is an art store showcasing traditional and contemporary artworks by local artists. Here, you can find a wide range of unique and high-quality paintings, sculptures, and handicrafts. Pare Anom not only offers art products but also provides opportunities for visitors to learn about Javanese art and culture through various workshops and exhibitions."
32,Benteng Trade Center,4.6,4687,-7.5738012,110.8315835,Shop,"Benteng Trade Center adalah pusat perbelanjaan modern yang menawarkan berbagai produk dari pakaian, aksesoris, hingga kebutuhan sehari-hari. Terletak di jantung kota Solo, tempat ini menjadi destinasi favorit bagi mereka yang mencari barang-barang berkualitas dengan harga terjangkau. Dengan suasana yang nyaman dan fasilitas lengkap, Benteng Trade Center menjadi tempat yang ideal untuk berbelanja.","Benteng Trade Center is a modern shopping center offering a variety of products from clothing, accessories, to daily necessities. Located in the heart of Solo, this place is a favorite destination for those looking for quality goods at affordable prices. With a comfortable atmosphere and complete facilities, Benteng Trade Center is an ideal place for shopping."
33,Pusat Grosir Solo,4.4,14137,-7.573093,110.829882,Shop,"Pusat Grosir Solo adalah pusat grosir terbesar di Solo yang menyediakan berbagai produk, mulai dari pakaian, tekstil, hingga peralatan rumah tangga. Tempat ini menjadi pilihan utama bagi para pedagang dan konsumen yang ingin membeli barang dalam jumlah besar dengan harga grosir. Dengan banyaknya pilihan dan harga yang kompetitif, Pusat Grosir Solo menjadi destinasi belanja yang tidak boleh dilewatkan.","Pusat Grosir Solo is the largest wholesale center in Solo, offering a wide range of products from clothing, textiles, to household goods. This place is the top choice for traders and consumers who want to buy goods in large quantities at wholesale prices. With a vast selection and competitive prices, Pusat Grosir Solo is a shopping destination not to be missed."
34,Pasar Malam Ngarsopuro,4.5,5578,-7.56875,110.8223017,"Shop, Culinary","Pasar Malam Ngarsopuro adalah pasar malam yang menawarkan berbagai produk kerajinan, pakaian, dan kuliner khas Solo. Dibuka setiap akhir pekan, pasar ini menjadi tempat yang ramai dengan suasana yang hidup dan menyenangkan. Selain berbelanja, pengunjung juga bisa menikmati berbagai hidangan lezat sambil menikmati pertunjukan seni dan musik jalanan yang sering diadakan di sini.","Pasar Malam Ngarsopuro is a night market offering a variety of handicrafts, clothing, and Solo's culinary delights. Open every weekend, this market becomes a lively and enjoyable place. In addition to shopping, visitors can enjoy various delicious dishes while enjoying street art and music performances often held here."
35,Pasar Klewer,4.5,10084,-7.5844761,110.8295178,Shop,"Pasar Klewer adalah pasar tekstil terbesar di Solo, terkenal dengan koleksi batik yang lengkap dan berkualitas. Pasar ini menjadi destinasi utama bagi wisatawan dan penduduk lokal yang mencari batik dalam berbagai motif dan warna. Selain batik, Pasar Klewer juga menawarkan berbagai produk tekstil lainnya dan aksesoris tradisional yang menarik.","Pasar Klewer is the largest textile market in Solo, famous for its extensive and high-quality batik collection. This market is a primary destination for tourists and locals looking for batik in various motifs and colors. Besides batik, Pasar Klewer also offers a variety of other textiles and attractive traditional accessories."
36,Pasar Antik Triwindu,4.5,2962,-7.5691764,110.8225383,"Art, Shop","Pasar Antik Triwindu adalah surga bagi para pecinta barang antik dan kolektor. Pasar ini menawarkan berbagai macam barang antik dari mebel, keramik, hingga perhiasan dan barang-barang unik lainnya. Setiap item di Pasar Triwindu memiliki cerita dan nilai sejarah yang tinggi, menjadikannya tempat yang menarik untuk berburu harta karun dari masa lalu.","Pasar Antik Triwindu is a paradise for antique lovers and collectors. This market offers a wide range of antique items from furniture, ceramics, to jewelry and other unique items. Each item at Triwindu Market has its own story and high historical value, making it an interesting place to hunt for treasures from the past."
